keyword,city,slug,tier,region,category,dominant_industry,high_commercial_intent
Equipment Financing Brownsville Texas,Brownsville,equipment-financing-brownsville,2,Rio Grande Valley,primary,Trade & Aerospace (SpaceX),False
Small Business Equipment Financing Brownsville TX,Brownsville,equipment-financing-brownsville,2,Rio Grande Valley,primary,Trade & Aerospace (SpaceX),False
Trucking and Fleet Financing Brownsville TX,Brownsville,equipment-financing-brownsville,2,Rio Grande Valley,vertical,Trade & Aerospace (SpaceX),False
Manufacturing Equipment Loans Brownsville Texas,Brownsville,equipment-financing-brownsville,2,Rio Grande Valley,vertical,Trade & Aerospace (SpaceX),False
Heavy Equipment Loans Brownsville TX,Brownsville,equipment-financing-brownsville,2,Rio Grande Valley,vertical,Trade & Aerospace (SpaceX),False
Best Equipment Financing Companies in Brownsville TX,Brownsville,equipment-financing-brownsville,2,Rio Grande Valley,intent,Trade & Aerospace (SpaceX),False
Equipment Financing for Small Businesses in Brownsville Texas,Brownsville,equipment-financing-brownsville,2,Rio Grande Valley,intent,Trade & Aerospace (SpaceX),False
Equipment Financing in Arlington TX,Arlington,equipment-financing-arlington,3,North Texas,primary,Entertainment & Manufacturing,False
Equipment Financing Arlington Texas,Arlington,equipment-financing-arlington,3,North Texas,primary,Entertainment & Manufacturing,False
Small Business Equipment Financing Arlington TX,Arlington,equipment-financing-arlington,3,North Texas,primary,Entertainment & Manufacturing,False
Manufacturing Equipment Loans Arlington Texas,Arlington,equipment-financing-arlington,3,North Texas,vertical,Entertainment & Manufacturing,False
Equipment Financing in Plano TX,Plano,equipment-financing-plano,3,North Texas,primary,Technology & Corporate HQs,False
Equipment Financing Plano Texas,Plano,equipment-financing-plano,3,North Texas,primary,Technology & Corporate HQs,False
Small Business Equipment Financing Plano TX,Plano,equipment-financing-plano,3,North Texas,primary,Technology & Corporate HQs,False
Manufacturing Equipment Loans Plano Texas,Plano,equipment-financing-plano,3,North Texas,vertical,Technology & Corporate HQs,False
Equipment Financing in Irving TX,Irving,equipment-financing-irving,3,North Texas,primary,Corporate Services & Logistics,False
Equipment Financing Irving Texas,Irving,equipment-financing-irving,3,North Texas,primary,Corporate Services & Logistics,False
Small Business Equipment Financing Irving TX,Irving,equipment-financing-irving,3,North Texas,primary,Corporate Services & Logistics,False
Trucking and Fleet Financing Irving TX,Irving,equipment-financing-irving,3,North Texas,vertical,Corporate Services & Logistics,False
Equipment Financing in Garland TX,Garland,equipment-financing-garland,3,North Texas,primary,Manufacturing & Retail,False
Equipment Financing Garland Texas,Garland,equipment-financing-garland,3,North Texas,primary,Manufacturing & Retail,False
Small Business Equipment Financing Garland TX,Garland,equipment-financing-garland,3,North Texas,primary,Manufacturing & Retail,False
Manufacturing Equipment Loans Garland Texas,Garland,equipment-financing-garland,3,North Texas,vertical,Manufacturing & Retail,False
Equipment Financing in Frisco TX,Frisco,equipment-financing-frisco,3,North Texas,primary,Technology & Professional Services,False
Equipment Financing Frisco Texas,Frisco,equipment-financing-frisco,3,North Texas,primary,Technology & Professional Services,False
Small Business Equipment Financing Frisco TX,Frisco,equipment-financing-frisco,3,North Texas,primary,Technology & Professional Services,False
Manufacturing Equipment Loans Frisco Texas,Frisco,equipment-financing-frisco,3,North Texas,vertical,Technology & Professional Services,False
Equipment Financing in McKinney TX,McKinney,equipment-financing-mckinney,3,North Texas,primary,Technology & Healthcare,False
Equipment Financing McKinney Texas,McKinney,equipment-financing-mckinney,3,North Texas,primary,Technology & Healthcare,False
Small Business Equipment Financing McKinney TX,McKinney,equipment-financing-mckinney,3,North Texas,primary,Technology & Healthcare,False
Medical Equipment Financing McKinney TX,McKinney,equipment-financing-mckinney,3,North Texas,vertical,Technology & Healthcare,False
Equipment Financing in Grand Prairie TX,Grand Prairie,equipment-financing-grand-prairie,3,North Texas,primary,Manufacturing & Distribution,False
Equipment Financing Grand Prairie Texas,Grand Prairie,equipment-financing-grand-prairie,3,North Texas,primary,Manufacturing & Distribution,False
Small Business Equipment Financing Grand Prairie TX,Grand Prairie,equipment-financing-grand-prairie,3,North Texas,primary,Manufacturing & Distribution,False
Manufacturing Equipment Loans Grand Prairie Texas,Grand Prairie,equipment-financing-grand-prairie,3,North Texas,vertical,Manufacturing & Distribution,False
Equipment Financing in Denton TX,Denton,equipment-financing-denton,3,North Texas,primary,Education & Technology,False
Equipment Financing Denton Texas,Denton,equipment-financing-denton,3,North Texas,primary,Education & Technology,False
Small Business Equipment Financing Denton TX,Denton,equipment-financing-denton,3,North Texas,primary,Education & Technology,False
Manufacturing Equipment Loans Denton Texas,Denton,equipment-financing-denton,3,North Texas,vertical,Education & Technology,False
Equipment Financing in Mesquite TX,Mesquite,equipment-financing-mesquite,3,North Texas,primary,Retail & Distribution,False
Equipment Financing Mesquite Texas,Mesquite,equipment-financing-mesquite,3,North Texas,primary,Retail & Distribution,False
Small Business Equipment Financing Mesquite TX,Mesquite,equipment-financing-mesquite,3,North Texas,primary,Retail & Distribution,False
Heavy Equipment Loans Mesquite TX,Mesquite,equipment-financing-mesquite,3,North Texas,vertical,Retail & Distribution,False
Equipment Financing in Carrollton TX,Carrollton,equipment-financing-carrollton,3,North Texas,primary,Manufacturing & Technology,False
Equipment Financing Carrollton Texas,Carrollton,equipment-financing-carrollton,3,North Texas,primary,Manufacturing & Technology,False
Small Business Equipment Financing Carrollton TX,Carrollton,equipment-financing-carrollton,3,North Texas,primary,Manufacturing & Technology,False
Manufacturing Equipment Loans Carrollton Texas,Carrollton,equipment-financing-carrollton,3,North Texas,vertical,Manufacturing & Technology,False
Equipment Financing in Round Rock TX,Round Rock,equipment-financing-round-rock,3,Central Texas,primary,Technology (Dell HQ),False
Equipment Financing Round Rock Texas,Round Rock,equipment-financing-round-rock,3,Central Texas,primary,Technology (Dell HQ),False
Small Business Equipment Financing Round Rock TX,Round Rock,equipment-financing-round-rock,3,Central Texas,primary,Technology (Dell HQ),False
Manufacturing Equipment Loans Round Rock Texas,Round Rock,equipment-financing-round-rock,3,Central Texas,vertical,Technology (Dell HQ),False
Equipment Financing in Lewisville TX,Lewisville,equipment-financing-lewisville,3,North Texas,primary,Distribution & Retail,False
Equipment Financing Lewisville Texas,Lewisville,equipment-financing-lewisville,3,North Texas,primary,Distribution & Retail,False
Small Business Equipment Financing Lewisville TX,Lewisville,equipment-financing-lewisville,3,North Texas,primary,Distribution & Retail,False
Heavy Equipment Loans Lewisville TX,Lewisville,equipment-financing-lewisville,3,North Texas,vertical,Distribution & Retail,False
Equipment Financing in Richardson TX,Richardson,equipment-financing-richardson,3,North Texas,primary,Telecom & Technology,False
Equipment Financing Richardson Texas,Richardson,equipment-financing-richardson,3,North Texas,primary,Telecom & Technology,False
Small Business Equipment Financing Richardson TX,Richardson,equipment-financing-richardson,3,North Texas,primary,Telecom & Technology,False
Manufacturing Equipment Loans Richardson Texas,Richardson,equipment-financing-richardson,3,North Texas,vertical,Telecom & Technology,False
Equipment Financing in Sugar Land TX,Sugar Land,equipment-financing-sugar-land,3,Gulf Coast,primary,Energy & Professional Services,False
Equipment Financing Sugar Land Texas,Sugar Land,equipment-financing-sugar-land,3,Gulf Coast,primary,Energy & Professional Services,False
Small Business Equipment Financing Sugar Land TX,Sugar Land,equipment-financing-sugar-land,3,Gulf Coast,primary,Energy & Professional Services,False
Heavy Equipment Loans Sugar Land TX,Sugar Land,equipment-financing-sugar-land,3,Gulf Coast,vertical,Energy & Professional Services,False
Equipment Financing in The Woodlands TX,The Woodlands,equipment-financing-the-woodlands,3,Gulf Coast,primary,Energy & Corporate HQs,False
Equipment Financing The Woodlands Texas,The Woodlands,equipment-financing-the-woodlands,3,Gulf Coast,primary,Energy & Corporate HQs,False
