city,tier,region,pages_count,lead_value_tier,dominant_industry
Rosenberg,3,Gulf Coast,1,Low,Agriculture & Manufacturing
Richmond,3,Gulf Coast,1,Low,Agriculture & Government
Humble,3,Gulf Coast,1,Medium,Oil & Gas & Retail
Katy,3,Gulf Coast,1,Medium,Energy & Construction
Tomball,3,Gulf Coast,1,Medium,Oil & Gas Services
Deer Park,3,Gulf Coast,1,Medium,Petrochemical & Manufacturing
La Porte,3,Gulf Coast,1,Medium,Petrochemical & Port Operations
Friendswood,3,Gulf Coast,1,Medium,Aerospace & Professional Services
Dickinson,3,Gulf Coast,1,Medium,Petrochemical & Healthcare
Alvin,3,Gulf Coast,1,Medium,Agriculture & Petrochemical
Seguin,3,Central Texas,1,Low,Manufacturing & Agriculture
Lockhart,3,Central Texas,1,Low,Manufacturing & Food (BBQ Capital)
Bastrop,3,Central Texas,1,Low,Tourism & Technology
Marble Falls,3,Central Texas,1,Medium,Tourism & Construction
Burnet,3,Central Texas,1,Low,Tourism & Agriculture
Lampasas,3,Central Texas,1,Low,Military & Agriculture
Copperas Cove,3,Central Texas,1,Low,Military (Fort Cavazos)
Gatesville,3,Central Texas,1,Low,Government & Agriculture
Belton,3,Central Texas,1,Low,Education & Government
Taylor,3,Central Texas,1,Low,Manufacturing (Samsung Fab)
Hutto,3,Central Texas,1,Medium,Construction & Retail
Kyle,3,Central Texas,1,Medium,Retail & Construction
Buda,3,Central Texas,1,Medium,Construction & Professional Services
Dripping Springs,3,Central Texas,1,Low,Tourism & Wineries
Fredericksburg,3,Central Texas,1,Low,Tourism & Wine/Agriculture
Kerrville,3,Central Texas,1,Medium,Tourism & Healthcare
Boerne,3,Central Texas,1,Low,Tourism & Professional Services
Uvalde,3,South Texas,1,Low,Agriculture & Ranching
Hondo,3,South Texas,1,Low,Agriculture & Military
Pearsall,3,South Texas,1,Medium,Oil & Gas & Agriculture
Crystal City,3,South Texas,1,Low,Agriculture (Spinach Capital)
Carrizo Springs,3,South Texas,1,Medium,Oil & Gas (Eagle Ford Shale)
Pleasanton,3,South Texas,1,Medium,Oil & Gas & Agriculture
Floresville,3,South Texas,1,Low,Agriculture & Peanut Farming
Gonzales,3,Central Texas,1,Medium,Agriculture & Energy
Cuero,3,Gulf Coast,1,Medium,Oil & Gas & Agriculture
Yoakum,3,Gulf Coast,1,Low,Leather & Agriculture
Edna,3,Gulf Coast,1,Medium,Agriculture & Energy
El Campo,3,Gulf Coast,1,Low,Agriculture & Rice Farming
Wharton,3,Gulf Coast,1,Medium,Agriculture & Energy
Columbus,3,Central Texas,1,Low,Agriculture & Tourism
La Grange,3,Central Texas,1,Low,Agriculture & Manufacturing
Brenham,3,Central Texas,1,Low,Food Manufacturing (Blue Bell)
Navasota,3,Central Texas,1,Low,Agriculture & Manufacturing
Madisonville,3,Central Texas,1,Low,Agriculture & Ranching
Hearne,3,Central Texas,1,Low,Agriculture & Railroad
Cameron,3,Central Texas,1,Medium,Agriculture & Mining
Marlin,3,Central Texas,1,Medium,Agriculture & Healthcare
Hillsboro,3,Central Texas,1,Low,Manufacturing & Agriculture
Mexia,3,Central Texas,1,Medium,Oil & Gas & Agriculture
Groesbeck,3,Central Texas,1,Medium,Agriculture & Energy
Sweetwater,3,West Texas,1,Medium,Wind Energy & Ranching
Snyder,3,West Texas,1,Medium,Oil & Gas & Agriculture
Big Spring,3,West Texas,1,Medium,Oil & Gas & Wind Energy
Pecos,3,West Texas,1,Medium,Oil & Gas (Permian Basin)
Monahans,3,West Texas,1,Medium,Oil & Gas
Fort Stockton,3,West Texas,1,Medium,Oil & Gas & Agriculture
Alpine,3,West Texas,1,Low,Education & Tourism
Marfa,3,West Texas,1,Low,Tourism & Arts
Van Horn,3,West Texas,1,Low,Ranching & Space (Blue Origin)
Andrews,3,Permian Basin,1,Medium,Oil & Gas
Seminole,3,Permian Basin,1,Medium,Oil & Gas & Agriculture
Lamesa,3,West Texas,1,Low,Cotton & Agriculture
Levelland,3,West Texas,1,Medium,Oil & Gas & Agriculture
Brownfield,3,West Texas,1,Medium,Agriculture & Oil
Plainview,3,Panhandle,1,Low,Agriculture & Food Processing
Hereford,3,Panhandle,1,Low,Cattle & Meatpacking
Pampa,3,Panhandle,1,Medium,Oil & Gas & Agriculture
Borger,3,Panhandle,1,Medium,Petrochemical & Refining
Dumas,3,Panhandle,1,Low,Agriculture & Natural Gas
Perryton,3,Panhandle,1,Medium,Oil & Gas & Agriculture
Dalhart,3,Panhandle,1,Low,Cattle Feedlots & Agriculture
Canyon,3,Panhandle,1,Low,Education & Agriculture
Childress,3,Panhandle,1,Low,Agriculture & Ranching
Vernon,3,North Texas,1,Low,Agriculture & Government
Graham,3,North Texas,1,Medium,Oil & Gas & Agriculture
Breckenridge,3,West Texas,1,Medium,Oil & Gas & Ranching
Brownwood,3,Central Texas,1,Low,Manufacturing & Education
Brady,3,Central Texas,1,Low,Agriculture & Ranching
Mason,3,Central Texas,1,Low,Ranching & Tourism
Llano,3,Central Texas,1,Medium,Tourism & Granite Mining
San Saba,3,Central Texas,1,Low,Pecan Farming & Agriculture
Goldthwaite,3,Central Texas,1,Low,Agriculture & Ranching
Comanche,3,Central Texas,1,Low,Dairy & Agriculture
Dublin,3,Central Texas,1,Low,Dairy & Agriculture
Alice,3,South Texas,1,Medium,Oil & Gas & Ranching
Kingsville,3,South Texas,1,Low,Military & Education
Beeville,3,South Texas,1,Medium,Oil & Gas & Agriculture
Sinton,3,Gulf Coast,1,Medium,Agriculture & Petrochemical
Robstown,3,Gulf Coast,1,Low,Agriculture & Cotton
Portland,3,Gulf Coast,1,Medium,Petrochemical & Manufacturing
Aransas Pass,3,Gulf Coast,1,Low,Fishing & Tourism
Rockport,3,Gulf Coast,1,Low,Tourism & Fishing
Port Isabel,3,Rio Grande Valley,1,Low,Tourism & Fishing
Los Fresnos,3,Rio Grande Valley,1,Low,Agriculture & Retail
San Benito,3,Rio Grande Valley,1,Low,Agriculture & Food Processing
Mercedes,3,Rio Grande Valley,1,Low,Agriculture & Food Processing
Donna,3,Rio Grande Valley,1,Low,Agriculture & Retail
La Feria,3,Rio Grande Valley,1,Low,Agriculture & Citrus
Rio Grande City,3,Rio Grande Valley,1,Medium,Agriculture & Trade
Roma,3,Rio Grande Valley,1,Medium,International Trade
Zapata,3,South Texas,1,Medium,Oil & Gas & Tourism
Hebbronville,3,South Texas,1,Medium,Oil & Gas & Ranching
Falfurrias,3,South Texas,1,Low,Ranching & Agriculture
George West,3,South Texas,1,Medium,Oil & Gas & Ranching
Cotulla,3,South Texas,1,Medium,Oil & Gas (Eagle Ford Shale)
Refugio,3,Gulf Coast,1,Medium,Agriculture & Oil
Goliad,3,Gulf Coast,1,Low,Tourism & Agriculture
Hallettsville,3,Gulf Coast,1,Low,Agriculture & Manufacturing
Schulenburg,3,Central Texas,1,Low,Agriculture & Manufacturing
Giddings,3,Central Texas,1,Medium,Oil & Gas & Agriculture
Smithville,3,Central Texas,1,Low,Tourism & Agriculture
Elgin,3,Central Texas,1,Low,Manufacturing & Agriculture (Sausage Capital)
Manor,3,Central Texas,1,Medium,Construction & Technology
Leander,3,Central Texas,1,Low,Technology & Retail
Liberty Hill,3,Central Texas,1,Medium,Construction & Agriculture
Jarrell,3,Central Texas,1,Medium,Construction & Agriculture
Salado,3,Central Texas,1,Low,Tourism & Retail
Harker Heights,3,Central Texas,1,Low,Military & Retail
Granbury,3,North Texas,1,Medium,Tourism & Nuclear Energy
Glen Rose,3,North Texas,1,Medium,Nuclear Energy & Tourism
Decatur,3,North Texas,1,Medium,Oil & Gas & Agriculture
Bridgeport,3,North Texas,1,Medium,Mining & Agriculture
Bowie,3,North Texas,1,Low,Agriculture & Manufacturing
Jacksboro,3,North Texas,1,Medium,Oil & Gas & Ranching
Seymour,3,North Texas,1,Medium,Agriculture & Oil
Stamford,3,West Texas,1,Low,Agriculture & Ranching
Haskell,3,West Texas,1,Low,Agriculture & Cotton
Coleman,3,West Texas,1,Low,Ranching & Agriculture
Ballinger,3,West Texas,1,Low,Agriculture & Manufacturing
Sonora,3,West Texas,1,Medium,Ranching & Oil/Gas
Ozona,3,West Texas,1,Medium,Ranching & Oil/Gas
Junction,3,Central Texas,1,Low,Ranching & Tourism
Bandera,3,Central Texas,1,Low,Tourism & Ranching (Cowboy Capital)
Wimberley,3,Central Texas,1,Low,Tourism & Arts
Johnson City,3,Central Texas,1,Low,Tourism & Ranching
